Solution name,Objective,Similarity
416,72306,88.582
417,84220,88.766
418,81376,88.653
419,80797,88.544
42,78003,87.822
420,81226,89.031
421,78261,89.415
422,77957,87.399
423,75332,88.452
424,75719,88.347
425,75357,88.197
426,77584,88.956
427,75344,89.539
428,76087,90.179
429,76854,89.146
43,75806,88.694
430,79444,89.814
431,83749,88.712
432,78174,88.03
433,77035,89.329
434,74966,89.764
435,75690,89.35
436,79572,87.365
437,72109,89.172
438,82541,89.375
439,82218,88.265
44,80052,89.692
440,79483,87.768
441,83179,86.826
442,75350,89.382
443,76894,89.121
444,81695,88.569
445,82889,88.8
446,75489,88.496
447,82157,88.236
448,72866,86.763
449,83474,88.068
45,76591,89.17
450,75995,87.933
451,85130,88.294
452,77430,88.667
453,76234,89.149
454,75231,89.204
455,80323,87.328
456,81535,88.41
457,77561,88.834
458,79914,88.226
459,78712,87.536
46,81198,89.449
460,76474,89.308
461,81727,89.224
462,76985,89.67
463,79012,88.543
464,76175,89.365
465,81337,87.756
466,78928,89.371
467,73847,88.865
468,81576,87.527
469,76923,88.324
47,77464,89.909
470,80026,90.664
471,71778,90.538
472,79733,89.147
473,73985,89.53
474,78238,88.814
475,77753,87.359
476,76772,88.09
477,76756,89.087
478,75978,89.763
479,77035,89.065
48,74247,88.993
480,78157,88.487
481,82465,89.52
482,88022,86.971
483,79692,88.47
484,82488,87.512
485,79666,87.634
486,76906,88.814
487,76053,88.4
488,75338,88.546
489,81746,87.82
49,77676,89.333
490,76723,89.196
491,80989,90.191
492,80261,86.52
493,78464,87.721
494,77435,88.22
495,78490,88.106
496,75873,89.284
497,76671,87.624
498,84825,88.241
499,83531,89.082
5,79922,88.3
50,77460,88.237
500,77179,90.043
501,83133,88.353
502,77734,88.169
503,76206,88.112
504,79185,88.324
505,77858,87.916
506,79031,88.11
507,78627,88.437
508,77138,88.538
509,74943,88.482
51,79248,88.799
510,74285,89.021
511,78171,88.106
512,76653,89.146
513,78046,88.65
514,79056,87.911
515,79045,88.975
516,78138,89.501
517,86105,88.379
518,74567,88.52
519,78038,89.867
52,77507,87.194
520,75536,89.63
521,78003,89.329
522,79953,87.551
523,86930,87.397
524,72633,89.336
525,84447,88.751
526,82491,87.461
527,81330,88.446
528,75911,86.504
529,77831,87.38
53,79125,87.558
530,73897,89.3
531,84289,89.171
532,81032,86.794
533,75934,89.223
534,77273,89.218
535,73147,89.801
536,76982,90.05
537,79430,87.977
538,83900,87.533
539,78694,89.035
54,76497,88.788
540,74947,88.492
541,79121,89.634
542,78502,88.531
543,80386,87.114
544,77301,89.248
545,76790,87.523
546,77433,88.571
547,77343,88.233
548,74528,90.462
549,78061,85.837
55,77521,87.9
550,77408,89.029
551,77482,88.086
552,76848,87.555
553,77029,89.896
554,78485,90.123
555,80359,87.632
556,79063,87.807
557,75682,88.096
558,74903,90.391
559,77262,88.365
56,79734,86.478
560,79921,88.133
561,78736,88.417
562,80020,89.33
563,78922,86.989
564,80568,89.499
565,77404,89.263
566,75266,89.465
567,76856,89.195
568,81931,87.611
569,81937,89.876
57,76416,89.313
570,76710,89.117
571,73444,88.671
572,73922,90.553
573,78178,88.683
574,85275,89.278
575,82631,89.908
576,80463,89.706
577,74216,88.378
578,83903,89.883
579,79003,86.813
58,75723,89.503
580,75808,87.637
581,79027,88.777
582,77150,88.613
583,72974,87.351
584,82099,89.353
585,78155,89.142
586,78389,86.542
587,76045,88.816
588,75730,89.366
589,82929,87.75
59,77500,88.575
590,82004,86.813
591,80987,88.048
592,78084,86.885
593,75708,90.138
594,80209,87.762
595,74859,87.57
596,77620,86.76
597,75910,89.433
598,77880,89.289
599,83729,89.378
6,74905,88.249
60,79178,89.071
600,74389,88.637
601,77292,88.714
602,79982,88.682
603,78731,89.106
604,86051,88.643
605,80172,88.686
606,73546,88.18
607,75886,88.545
608,75548,88.771
609,74168,88.348
61,77303,89.484
610,71287,89.804
611,80532,88.146
612,77079,88.539
613,79274,89.179
614,77716,88.22
615,84917,89.181
616,78466,89.202
617,79873,89.788
618,75658,88.324
619,81612,88.918
62,73786,89.241
620,82145,87.694
621,83001,86.928
622,81156,86.814
623,76165,89.096
624,73830,88.929
625,80436,88.869
626,78856,87.729
627,79859,89.535
628,77949,90.173
629,77461,89.62
63,77230,88.694
630,76965,87.134
631,74243,89.061
632,78320,89.273
633,78675,89.708
634,76752,89.966
635,83555,88.813
636,79648,87.089
637,86357,89.329
638,74890,88.251
639,73539,87.928
64,81650,88.782
640,79957,89.029
641,76859,88.519
642,77841,88.631
643,86017,89.195
644,78995,88.289
645,79469,88.509
646,87132,90.071
647,79406,89.005
648,80140,87.325
649,81139,89.501
65,79484,87.74
650,74669,89.461
651,75252,88.804
652,80110,88.546
653,81685,89.944
654,75692,89.069
655,83340,88.323
656,78806,87.868
657,90340,88.445
658,76267,88.101
659,83866,87.034
66,76672,90.297
660,80345,89.729
661,78877,89.959
662,75541,90.211
663,79518,88.816
664,78920,89.539
665,79674,88.442
666,77757,86.116
667,77561,87.697
668,74562,90.179
669,76784,89.416
67,73710,88.594
670,75620,89.98
671,78714,88.901
672,79389,87.899
673,75719,87.076
674,80045,89.142
675,79101,88.045
676,83541,88.791
677,78674,88.691
678,78878,88.027
679,79217,89.102
68,84545,87.842
680,74403,89.084
681,77800,88.219
682,78490,88.518
683,78258,88.907
684,76673,87.651
685,77140,88.765
686,74977,90.087
687,76962,88.324
688,70407,90.055
689,78696,89.181
69,78164,88.537
690,76536,89.179
691,76134,89.644
692,81034,89.331
693,79443,89.667
694,76193,89.216
695,73408,90.11
696,81164,89.002
697,74591,89.104
698,82676,88.066
699,73502,88.403
7,77462,89.827
70,83362,87.891
700,76684,85.929
701,73387,87.91
702,78032,88.109
703,76683,88.607
704,76783,89.431
705,75882,89.197
706,81825,86.612
707,75481,90.044
708,79674,89.194
709,73542,89.361
71,79456,88.211
710,77551,89.634
711,79622,89.344
712,85700,87.804
713,76996,89.995
714,78937,89.08
715,76007,88.996
716,76314,89.688
717,78741,88.556
718,75237,89.754
719,79999,86.064
72,84566,88.553
720,78385,88.929
721,74139,89.066
722,76039,88.734
723,74383,89.746
724,81565,90.487
725,79793,89.365
726,80060,88.915
727,77217,87.466
728,79001,86.514
729,76610,88.746
73,82018,87.872
730,82887,86.217
731,81067,88.985
732,77698,88.968
733,81678,89.556
734,77089,89.009
735,75676,88.517
736,77252,88.151
737,78642,88.946
738,76578,89.466
739,81327,87.019
74,75548,87.907
740,80451,88.98
741,73963,89.234
742,80026,87.446
743,75420,89.344
744,76836,89.329
745,81252,87.893
746,81155,88.263
747,76672,86.719
748,79866,89.919
749,75290,89.16
75,74783,89.023
750,80569,88.582
751,75415,88.48
752,78505,86.763
753,77929,87.85
754,78277,88.04
755,79517,90.006
756,79452,88.136
757,74326,89.482
758,76986,87.341
759,77316,88.515
76,77883,89.042
760,73984,86.765
761,79477,88.932
762,80260,87.736
763,78836,88.951
764,74671,89.711
765,79195,86.837
766,74725,89.038
767,81001,87.946
768,78434,87.439
769,82322,87.069
77,74497,88.633
770,78069,88.815
771,77396,89.04
772,80052,88.402
773,77460,88.263
774,78135,88.297
775,78909,88.215
776,79934,90.034
777,76412,88.991
778,77452,89.552
779,76265,87.96
78,72149,88.418
780,76432,90.1
781,75810,90.108
782,80919,88.588
783,75856,89.025
784,82955,87.787
785,77314,88.235
786,72860,88.938
787,77904,87.724
788,79369,88.666
789,74234,90.544
79,80786,88.972
790,82596,88.152
791,77964,85.933
792,81568,87.801
793,75097,88.618
794,74622,89.012
795,78672,88.027
796,76232,89.793
797,77577,86.613
798,77551,88.303
799,78947,89.585
8,80070,88.765
80,79427,89.641
800,74751,89.035
801,82449,88.635
802,75798,88.575
803,76040,89.723
804,77331,85.174
805,84235,89.573
806,82451,89.304
807,74919,88.578
808,75896,88.444
809,79575,89.14
81,86676,87.528
810,79569,88.641
811,78325,87.481
812,81425,87.689
813,76987,88.644
814,78174,89.187
815,78607,89.199
816,74018,85.182
817,78080,86.09
818,75903,90.039
819,77678,88.298
82,74302,87.643
820,79347,87.733
821,75987,87.933
822,74280,89.965
823,76106,88.012
824,73201,88.049
825,81938,88.85
826,81946,89.478
827,79227,88.387
828,78919,89.196
829,79540,87.542
83,78148,88.838
830,73037,88.224
831,78402,89.196
832,79895,89.264
833,79960,88.639
834,78647,89.225
835,82260,87.65
836,73926,89.378
837,75615,89.774
838,79201,86.779
839,79959,89.607
84,84519,89.629
840,80132,88.086
841,75796,89.125
842,81459,87.902
843,74056,87.69
844,77250,88.454
845,77298,89.184
846,76854,89.893
847,78652,87.247
848,77264,89.188
849,77915,89.031
85,73007,88.982
850,77314,90.587
851,82368,86.113
852,73859,88.187
853,78139,87.563
854,79188,89.897
855,74079,89.322
856,75610,89.942
857,74583,88.585
858,83062,88.237
859,78918,89.652
86,74223,87.37
860,75335,88.827
861,79893,89.197
862,79040,89.722
863,78891,89.215
864,81359,89.531
865,75659,89.312
866,86968,88.541
867,77856,89.375
868,82168,88.282
869,78993,89.199
87,77893,87.824
870,75106,90.067
871,75079,88.409
872,77674,88.098
873,74995,88.006
874,77732,87.639
875,74365,87.379
876,71993,89.347
877,78105,88.977
878,76233,86.771
879,76506,89.853
88,74963,88.093
880,73388,89.052
881,80955,87.317
882,72454,88.425
883,74294,88.791
884,82070,89.33
885,76955,89.933
886,82602,86.935
887,77496,87.548
888,78649,88.469
889,81565,89.357
89,78621,89.976
890,79387,88.116
891,71508,88.746
892,78690,90.154
893,78747,89.67
894,79350,88.63
895,80396,88.198
896,81072,87.276
897,79283,89.412
898,77643,88.842
899,78425,88.465
9,77007,89.594
90,77914,89.058
900,72873,87.457
901,73599,88.917
902,77377,88.107
903,76937,87.984
904,80165,88.338
905,74692,87.636
906,82079,88.744
907,80606,88.834
908,74207,88.661
909,82220,88.55
91,76117,88.174
910,83763,87.744
911,72867,88.992
912,81250,88.282
913,74525,89.065
914,77754,89.325
915,76297,88.329
916,75816,87.643
917,80078,89.963
918,79195,88.307
919,77573,88.72
92,80481,88.704
920,78741,89.096
921,75621,90.091
922,76688,89.918
923,77735,89.84
924,78186,89.617
925,77659,89.324
926,80488,88.067
927,81581,89.084
928,77332,88.884
929,76171,90.139
93,83915,88.316
930,73151,87.937
931,82906,89.676
932,78552,88.099
933,79020,88.442
934,77831,88.781
935,80741,88.829
936,76367,88.63
937,77590,87.998
938,78923,87.621
939,75807,88.266
94,71858,88.901
940,81321,87.391
941,76686,86.605
942,75666,88.643
943,78197,87.852
944,82264,89.174
945,78241,88.291
946,76155,89.059
947,75153,89.845
948,77445,89.006
949,82455,87.769
95,79647,87.211
950,76974,89.544
951,75539,89.733
952,75803,88.987
953,80005,89.722
954,81470,90.034
955,82352,88.695
956,83560,88.741
957,78813,87.632
958,78318,86.318
959,73903,89.388
96,79033,87.842
960,78745,89.833
961,79386,88.621
962,73840,89.094
963,76505,89.724
964,79297,88.074
965,75872,89.543
966,84052,86.712
967,77374,88.14
968,77124,88.189
969,83119,89.3
97,74430,87.525
970,76586,87.566
971,78404,88.019
972,77079,89.036
973,77919,89.591
974,81737,89.177
975,75969,88.727
976,74760,88.854
977,73746,89.011
978,77706,88.99
979,74042,88.757
98,78108,85.87
980,81819,88.391
981,78501,89.576
982,77075,88.003
983,82315,88.619
984,81586,89.489
985,77134,89.49
